,score,extract,type
149,0.7076923076923077,bach,other
150,0.7241379310344828,mozart,same
151,0.5051546391752577,mozart,other
152,0.9310344827586207,glazounov,same
153,0.788659793814433,glazounov,other
154,0.7027027027027027,free,same
155,0.6935483870967742,free,other
156,0.8863636363636364,gamme,same
157,0.8044692737430168,gamme,other
158,0.8385650224215246,Mix,same
159,,Mix,other
160,0.9310344827586207,tchai,same
161,0.8144329896907216,tchai,other
162,0.8928571428571429,sibelius,same
163,0.7128205128205128,sibelius,other
164,0.9642857142857143,bach,same
165,0.6666666666666666,bach,other
166,0.7931034482758621,mozart,same
167,0.7422680412371134,mozart,other
168,0.896551724137931,glazounov,same
169,0.7164948453608248,glazounov,other
170,0.7567567567567568,free,same
171,0.6182795698924731,free,other
172,0.9302325581395349,gamme,same
173,0.75,gamme,other
174,0.8565022421524664,Mix,same
175,,Mix,other
176,0.8620689655172413,tchai,same
177,0.6494845360824743,tchai,other
178,0.9259259259259259,sibelius,same
179,0.7244897959183674,sibelius,other
180,0.9642857142857143,bach,same
181,0.7025641025641025,bach,other
182,0.8275862068965517,mozart,same
183,0.6597938144329897,mozart,other
184,0.8620689655172413,glazounov,same
185,0.7628865979381443,glazounov,other
186,0.7027027027027027,free,same
187,0.7204301075268817,free,other
188,0.8181818181818182,gamme,same
189,0.7374301675977654,gamme,other
190,0.7085201793721974,Mix,same
191,,Mix,other
192,0.8275862068965517,tchai,same
193,0.6030927835051546,tchai,other
194,0.8518518518518519,sibelius,same
195,0.5969387755102041,sibelius,other
196,1.0,bach,same
197,0.676923076923077,bach,other
198,0.6551724137931034,mozart,same
199,0.6855670103092784,mozart,other
200,0.9655172413793104,glazounov,same
201,0.7371134020618557,glazounov,other
202,0.6756756756756757,free,same
203,0.8172043010752689,free,other
204,0.8181818181818182,gamme,same
205,0.776536312849162,gamme,other
206,0.8071748878923767,Mix,same
207,,Mix,other
208,0.896551724137931,tchai,same
209,0.6649484536082474,tchai,other
210,0.7777777777777778,sibelius,same
211,0.5612244897959183,sibelius,other
212,0.9285714285714286,bach,same
213,0.717948717948718,bach,other
214,0.8620689655172413,mozart,same
215,0.7010309278350515,mozart,other
216,0.896551724137931,glazounov,same
217,0.7938144329896907,glazounov,other
218,0.7027027027027027,free,same
219,0.6720430107526881,free,other
220,0.7954545454545454,gamme,same
221,0.8379888268156425,gamme,other
222,0.8116591928251121,Mix,same
223,,Mix,other
224,0.896551724137931,tchai,same
225,0.7010309278350515,tchai,other
226,0.8888888888888888,sibelius,same
227,0.6326530612244898,sibelius,other
228,0.8928571428571429,bach,same
229,0.5538461538461539,bach,other
230,0.896551724137931,mozart,same
231,0.7010309278350515,mozart,other
232,0.9310344827586207,glazounov,same
233,0.7628865979381443,glazounov,other
234,0.8108108108108109,free,same
235,0.7204301075268817,free,other
236,0.9090909090909091,gamme,same
237,0.6256983240223464,gamme,other
238,0.8968609865470852,Mix,same
239,,Mix,other
240,1.0,tchai,same
241,0.7835051546391752,tchai,other
242,0.7857142857142857,sibelius,same
