,score,i,j
344,0.8287037037037037,8,20
345,0.8935185185185185,8,25
346,0.8888888888888888,8,30
347,0.9027777777777778,8,35
348,0.8518518518518519,8,40
349,0.8935185185185185,8,45
350,0.8981481481481481,8,50
351,0.875,8,55
352,0.8564814814814815,9,5
353,0.8611111111111112,9,10
354,0.9120370370370371,9,15
355,0.8333333333333334,9,20
356,0.8611111111111112,9,25
357,0.9212962962962963,9,30
358,0.8518518518518519,9,35
359,0.8796296296296297,9,40
360,0.8842592592592593,9,45
361,0.8472222222222222,9,50
362,0.9305555555555556,9,55
363,0.9351851851851852,10,5
364,0.9212962962962963,10,10
365,0.8611111111111112,10,15
366,0.8796296296296297,10,20
367,0.8888888888888888,10,25
368,0.9027777777777778,10,30
369,0.8333333333333334,10,35
370,0.8564814814814815,10,40
371,0.8564814814814815,10,45
372,0.8564814814814815,10,50
373,0.8981481481481481,10,55
374,0.8796296296296297,11,5
375,0.9351851851851852,11,10
376,0.9027777777777778,11,15
377,0.8703703703703703,11,20
378,0.875,11,25
379,0.9027777777777778,11,30
380,0.8935185185185185,11,35
381,0.8796296296296297,11,40
382,0.8518518518518519,11,45
383,0.8888888888888888,11,50
384,0.9305555555555556,11,55
385,0.8842592592592593,12,5
386,0.8703703703703703,12,10
387,0.8796296296296297,12,15
388,0.875,12,20
389,0.8842592592592593,12,25
390,0.8842592592592593,12,30
391,0.8518518518518519,12,35
392,0.8981481481481481,12,40
393,0.8564814814814815,12,45
394,0.8796296296296297,12,50
395,0.875,12,55
396,0.5231481481481481,1,5
397,0.7870370370370371,1,10
398,0.7916666666666666,1,15
399,0.7870370370370371,1,20
400,0.7916666666666666,1,25
401,0.8287037037037037,1,30
402,0.6620370370370371,1,35
403,0.8564814814814815,1,40
404,0.8287037037037037,1,45
405,0.8888888888888888,1,50
406,0.8611111111111112,1,55
407,0.6712962962962963,2,5
408,0.7685185185185185,2,10
409,0.6157407407407407,2,15
410,0.8009259259259259,2,20
411,0.875,2,25
412,0.8611111111111112,2,30
413,0.8101851851851852,2,35
414,0.8657407407407407,2,40
415,0.8842592592592593,2,45
416,0.8888888888888888,2,50
417,0.8888888888888888,2,55
418,0.5601851851851852,3,5
419,0.8055555555555556,3,10
420,0.8611111111111112,3,15
421,0.8842592592592593,3,20
422,0.8796296296296297,3,25
423,0.75,3,30
424,0.9027777777777778,3,35
425,0.9027777777777778,3,40
426,0.9212962962962963,3,45
427,0.8472222222222222,3,50
428,0.9074074074074074,3,55
429,0.625,4,5
430,0.7962962962962963,4,10
431,0.8981481481481481,4,15
432,0.8796296296296297,4,20
433,0.9074074074074074,4,25
434,0.8935185185185185,4,30
435,0.9074074074074074,4,35
436,0.8564814814814815,4,40
437,0.8703703703703703,4,45
438,0.8148148148148148,4,50
439,0.7453703703703703,4,55
440,0.7546296296296297,5,5
441,0.8009259259259259,5,10
442,0.7592592592592593,5,15
443,0.8888888888888888,5,20
444,0.7592592592592593,5,25
445,0.8240740740740741,5,30
446,0.8472222222222222,5,35
447,0.9027777777777778,5,40
448,0.8379629629629629,5,45
449,0.8842592592592593,5,50
450,0.8796296296296297,5,55
451,0.7916666666666666,6,5
452,0.8564814814814815,6,10
453,0.8425925925925926,6,15
454,0.8981481481481481,6,20
455,0.9212962962962963,6,25
456,0.8564814814814815,6,30
457,0.8194444444444444,6,35
458,0.8518518518518519,6,40
459,0.8842592592592593,6,45
460,0.8194444444444444,6,50
461,0.8194444444444444,6,55
462,0.7638888888888888,7,5
463,0.8425925925925926,7,10
464,0.8935185185185185,7,15
465,0.8287037037037037,7,20
466,0.8935185185185185,7,25
467,0.8703703703703703,7,30
468,0.8518518518518519,7,35
469,0.8611111111111112,7,40
470,0.8333333333333334,7,45
471,0.8842592592592593,7,50
472,0.875,7,55
473,0.8703703703703703,8,5
474,0.8888888888888888,8,10
475,0.8564814814814815,8,15
476,0.8611111111111112,8,20
477,0.875,8,25
478,0.9074074074074074,8,30
479,0.8425925925925926,8,35
480,0.9166666666666666,8,40
481,0.8981481481481481,8,45
482,0.8703703703703703,8,50
483,0.8842592592592593,8,55
484,0.7870370370370371,9,5
485,0.8194444444444444,9,10
486,0.9027777777777778,9,15
487,0.875,9,20
488,0.8981481481481481,9,25
489,0.8796296296296297,9,30
490,0.8240740740740741,9,35
491,0.8703703703703703,9,40
492,0.9259259259259259,9,45
493,0.875,9,50
494,0.8842592592592593,9,55
495,0.8194444444444444,10,5
496,0.8935185185185185,10,10
497,0.8796296296296297,10,15
498,0.8287037037037037,10,20
499,0.8888888888888888,10,25
500,0.9120370370370371,10,30
501,0.8657407407407407,10,35
502,0.8842592592592593,10,40
503,0.9027777777777778,10,45
504,0.8935185185185185,10,50
505,0.8518518518518519,10,55
506,0.8796296296296297,11,5
507,0.875,11,10
508,0.8981481481481481,11,15
509,0.8842592592592593,11,20
510,0.8611111111111112,11,25
511,0.8703703703703703,11,30
512,0.8935185185185185,11,35
513,0.8240740740740741,11,40
514,0.875,11,45
515,0.8657407407407407,11,50
516,0.8518518518518519,11,55
517,0.8194444444444444,12,5
518,0.8194444444444444,12,10
519,0.8657407407407407,12,15
520,0.9027777777777778,12,20
521,0.9074074074074074,12,25
522,0.9074074074074074,12,30
523,0.875,12,35
524,0.8888888888888888,12,40
525,0.9074074074074074,12,45
526,0.8842592592592593,12,50
527,0.9074074074074074,12,55
528,0.6666666666666666,1,5
529,0.3425925925925926,1,10
530,0.5,1,15
531,0.7314814814814815,1,20
532,0.8611111111111112,1,25
533,0.8657407407407407,1,30
534,0.8703703703703703,1,35
535,0.8888888888888888,1,40
536,0.9120370370370371,1,45
537,0.5416666666666666,1,50
538,0.8472222222222222,1,55
539,0.35648148148148145,2,5
540,0.7314814814814815,2,10
541,0.8518518518518519,2,15
542,0.9120370370370371,2,20
543,0.8981481481481481,2,25
544,0.8935185185185185,2,30
545,0.9120370370370371,2,35
546,0.9027777777777778,2,40
547,0.9027777777777778,2,45
548,0.8888888888888888,2,50
549,0.9259259259259259,2,55
550,0.6018518518518519,3,5
551,0.8796296296296297,3,10
552,0.7175925925925926,3,15
553,0.7314814814814815,3,20
554,0.7453703703703703,3,25
555,0.9120370370370371,3,30
556,0.9166666666666666,3,35
557,0.8935185185185185,3,40
558,0.8935185185185185,3,45
559,0.9398148148148148,3,50
560,0.8703703703703703,3,55
561,0.6712962962962963,4,5
562,0.7731481481481481,4,10
563,0.8611111111111112,4,15
564,0.7870370370370371,4,20
565,0.8287037037037037,4,25
566,0.7592592592592593,4,30
567,0.8888888888888888,4,35
568,0.8518518518518519,4,40
569,0.8518518518518519,4,45
570,0.9259259259259259,4,50
571,0.8842592592592593,4,55
572,0.6944444444444444,5,5
573,0.8981481481481481,5,10
574,0.8935185185185185,5,15
575,0.8611111111111112,5,20
576,0.8518518518518519,5,25
577,0.8564814814814815,5,30
578,0.9027777777777778,5,35
579,0.8472222222222222,5,40
580,0.8842592592592593,5,45
581,0.8425925925925926,5,50
582,0.8611111111111112,5,55
583,0.8888888888888888,6,5
584,0.8657407407407407,6,10
585,0.9074074074074074,6,15
586,0.8657407407407407,6,20
587,0.8518518518518519,6,25
588,0.8472222222222222,6,30
589,0.8611111111111112,6,35
590,0.8935185185185185,6,40
591,0.875,6,45
592,0.9351851851851852,6,50
593,0.9074074074074074,6,55
594,0.7037037037037037,7,5
595,0.8703703703703703,7,10
596,0.8379629629629629,7,15
597,0.8472222222222222,7,20
598,0.9027777777777778,7,25
599,0.8888888888888888,7,30
600,0.8981481481481481,7,35
601,0.9305555555555556,7,40
602,0.8842592592592593,7,45
603,0.9212962962962963,7,50
604,0.8842592592592593,7,55
605,0.8611111111111112,8,5
606,0.9212962962962963,8,10
607,0.8888888888888888,8,15
608,0.9120370370370371,8,20
609,0.9120370370370371,8,25
610,0.8657407407407407,8,30
611,0.9074074074074074,8,35
612,0.8981481481481481,8,40
613,0.8981481481481481,8,45
614,0.9212962962962963,8,50
615,0.8657407407407407,8,55
616,0.7777777777777778,9,5
617,0.8564814814814815,9,10
618,0.8518518518518519,9,15
619,0.8611111111111112,9,20
620,0.8796296296296297,9,25
621,0.8472222222222222,9,30
622,0.9120370370370371,9,35
623,0.8333333333333334,9,40
624,0.9074074074074074,9,45
625,0.8564814814814815,9,50
626,0.8935185185185185,9,55
627,0.9027777777777778,10,5
628,0.8518518518518519,10,10
629,0.8101851851851852,10,15
630,0.8657407407407407,10,20
631,0.9212962962962963,10,25
632,0.8425925925925926,10,30
633,0.9120370370370371,10,35
634,0.8657407407407407,10,40
635,0.8333333333333334,10,45
636,0.8796296296296297,10,50
637,0.8888888888888888,10,55
638,0.8425925925925926,11,5
639,0.8518518518518519,11,10
640,0.8888888888888888,11,15
641,0.8472222222222222,11,20
642,0.8796296296296297,11,25
643,0.8518518518518519,11,30
644,0.8842592592592593,11,35
645,0.9212962962962963,11,40
646,0.8703703703703703,11,45
647,0.8796296296296297,11,50
648,0.8981481481481481,11,55
649,0.8611111111111112,12,5
650,0.8611111111111112,12,10
651,0.8796296296296297,12,15
652,0.8472222222222222,12,20
653,0.8796296296296297,12,25
654,0.9212962962962963,12,30
655,0.9120370370370371,12,35
656,0.8472222222222222,12,40
657,0.8888888888888888,12,45
658,0.8703703703703703,12,50
659,0.8981481481481481,12,55
660,0.375,1,5
661,0.75,1,10
662,0.49537037037037035,1,15
663,0.8425925925925926,1,20
664,0.8287037037037037,1,25
665,0.8425925925925926,1,30
666,0.6944444444444444,1,35
667,0.7777777777777778,1,40
668,0.8611111111111112,1,45
669,0.8981481481481481,1,50
670,0.6018518518518519,1,55
671,0.5509259259259259,2,5
672,0.7129629629629629,2,10
673,0.6342592592592593,2,15
674,0.7962962962962963,2,20
675,0.75,2,25
676,0.6759259259259259,2,30
677,0.8611111111111112,2,35
678,0.8796296296296297,2,40
679,0.9074074074074074,2,45
680,0.7453703703703703,2,50
681,0.8101851851851852,2,55
682,0.6944444444444444,3,5
683,0.6527777777777778,3,10
684,0.9027777777777778,3,15
685,0.8148148148148148,3,20
686,0.8287037037037037,3,25
687,0.7824074074074074,3,30
688,0.8611111111111112,3,35
689,0.8657407407407407,3,40
690,0.9074074074074074,3,45
691,0.8611111111111112,3,50
692,0.8888888888888888,3,55
693,0.7638888888888888,4,5
694,0.8703703703703703,4,10
